Protocol, N, L, Time (ns), Q, P, G
3, 176, 384, 15630118, 57006781226793958475754017965877713417866150716115023, 38787544435236886226468743016589172061372761655973957689945814043568755844010143650712480907401742523870030610210969, 28790677389701599908531567443881861923984341635915970721562658376357564100315931453627617926470305906567689633767813
3, 192, 384, 15128818, 3327656186297353999754296778117328189624436594371265204847, 33008846966575619103780930978476871752866749832897801329199225095391549384299776579660048586839357792747855396479009, 30467561805793462928514655999673473327506736285579308684110485674065633432308298626317258047582898274461636756585699
3, 208, 384, 17310687, 393459366502312776956675532944099445952890053416499682299791483, 31832739261914479690320976585419054065121279440274318604350781029402965239190424591938010209047531084695598115746241, 13290241382190970891806102062756315065174620680175653521456305918925631174797009369742335690871530777571761874939587
3, 224, 384, 17269541, 23880891673480855994648815600327735991254211088673498443085912021387, 21109557573046386011802605373603361042450611619755762258032334216372360683494610612082951969945501910866360338690921, 8063752926623623242050608051828300592131799850340975948092623010472958577603842822789849083126174845658708073905857
3, 240, 384, 18283133, 1458629496218589003931593079918790109936912657679577269853192340711189983, 33396936675860478905186200816095819852358105858378468705123883029296709410973839831954231341461202204352276398168273, 22386125447072461503893226444605359484011174042410691979562585685324669699301941992355760254771777726566762513741833
3, 256, 384, 19879639, 106313957974293736424670761111006198770669061185728426333199226307926324825591, 32483452338836142907783712380232448889515095906979761504470021141756334176175922405285244208751736673119699458507121, 12818281276368442138931299209285876076352725809956953094630260985417048019772740778986169151749203337111933503406263
3, 16, 512, 8433833, 35797, 7137117836316978055911763621074535684611502501829607305258596089071029705996367452065334293172053299930392709349287807262631555346468107013243720915953877, 3251142149002344053458852716309983067610186587935986988310154655419038451294188877150715858044911658447846142187525745546205178923458082032617732544455848
3, 32, 512, 11160806, 3505883789, 8748676555422550748449790468586268739933293637712236483987865614320431836656687096518940445953273938123075583629678465685139764150272254116110184216454207, 8544653873296065738473458288824348253112154593333710556245417455607940528363866323495733599836996333370870353690193937879621495239301968657121520746963926
3, 48, 512, 11332264, 215134495746757, 10673402306116954238401622112023811305416930799253381398171608297980706428142799334511396348619021763438308079721690227064610939005209009509385430300880957, 1233696368087381652082515908704967112816667961572996161796048034958989300034830159570081636983903809417107446732754255517933778298846833011792203125100122
3, 64, 512, 12098981, 10532961738740672701, 12773158740083844868989470203499260585830236992928490520188114781793110090692520310948242490401647682803892344013645630027531632459160563129961990549281701, 7460228594101651200399421501347720781296306011754420705119679748165575000414333391747298197412745535665400647572078384384919941391557800192967496880693162
3, 80, 512, 14083872, 1160327045087745367365679, 6798062412685905952986778302149033626686920233959179719139931708621717755703106030906583626351209669494087982944174567110344811652565001160490507398605999, 1788533267314631482058996315126066467226774434125112642485352986446457156922363254644260365801060728729975249742630807344467717010903790198166275249123401
3, 96, 512, 14083924, 68760969045626626703149061417, 9492735289779996593584652488676160662256638899726444239786879748134344899037050203710714269327974155388092489689073804291353966189961840000350796553245933, 5761773728251667373464451687338076679879038923001659418539315396812454225081113268363014749902168350906432760802734074714739797732964192361186524588589063
3, 112, 512, 16850792, 2625311396232744100247447804360723, 11224413404849742179739160348262981951334841984895295573425500701059057809767267796813513580591564458486587080232122217149726984059316974159698547124426831, 7872896829425201595729967703649487163898459611692398704215317079574539721117229296409147403437456796759679353307017716138001681654353930829862414380767624
3, 128, 512, 21440729, 292614103353762316335237594655023746887, 11776537017962218792510849234441594298133833033011146490627516041628122939016979658527461357737453428317431214140535762304654448932996829732760602310406009, 9699409130110674971008959380594718890627591941189892884157741133763842529416760641524662481645964368579080986369613069758538360896911479581378731734432012
3, 144, 512, 19275786, 19618135671565988695643079520429036441575941, 8673397175784050900498171463859000264952880955454372131968975684684525412864489640624035906455406782990494080391663090286536167252588677080039049964554517, 2906098352986602731356188966743717837626245417659952049902215620479257512790694597068247594442691210500747183552503128999457425544651206009100484916690041
3, 160, 512, 19460734, 1206912849349887935073524154002645200511046074039, 7813255609728830413251342195453131635480485531942494521082108966489125548690116224702990626887358933794371709864855646615964470444863645478225091943255797, 144879270174022824021854560819441188886338098156915649036105089724862367416213167707750596509990093331865592710663830616843722293870638708835182295679075
3, 176, 512, 22440674, 80850987530376106311295846304090678835573497102213227, 7206476692539748537634990208327987528044713196398850590859839436868286670969403704092994279780043081480691892076113113884402549510784014293494776973976587, 451177474173499523773429381174081294663088824374935578144227776415626203285425354061282516774870611861303206802473159109178911835869536413485407906862752
3, 192, 512, 22057602, 6217829743223850649664182010966258149648114571449119049357, 8686699022271481577018222958252139408618668611189039438813375058615581735162067797800953491635370473472690076726818210291494208939577548863083203734896029, 7086444284721011956115875977472441389118840407106889209163388786084295403738179242335290039034768520187866822986813919524769628238319824855284447830922182
3, 224, 512, 27269516, 24986634534733325786025912761226746534605349122786633683075611376619, 12042786766007623896801471371745052250096693389769700832579454827482108765787450952830309668477047752615782568816504266841831980371137780401335678763574553, 5652665432947547537500130020211859533206028853550104248318736479991667151670697514501597903038270018513442291098599219288331448637495811389444711682281584
3, 240, 512, 28929356, 1303022585223750790149520673750852469130613014066607918975932834709704273, 8195108347141140049778376643593852817337928124171237710972013232421367134767311466199804121560781180019675058343006933438225119771163277801419914906291101, 242041164672475692826377306530687313908161197107574987583681295120439923495242954696453562646046553754425402708492368593061921763383718217201878018936810
3, 256, 512, 28684200, 98322076959323441854950705739341399672780902621836304817456090870539543980307, 9062771447599484954574786775877798801547280923150022581790098168249178786641262722245442428776360226661702857647039762155412005226532863460038207279296607, 488638644873167720229252548420683646265337198668134703497436955632111745024796859590935688506423566026743421455798042550272842773542367799487681721336695
3, 16, 640, 9033467, 53377, 2295524012796267381719244453672296702967239143635035183705326767927363049672225741833995002926070060898919896659217763003699241863566192627627339261883285756906601817187870995644487046830745851, 1198572752576979611055505089118839466806036521381175606235183013808072908736110132107494673385624529136695350920745846470481211704093197101368559071805349284402077812202129003925629547391356509
3, 32, 640, 12362938, 3505947829, 3871087843287085901596095531129429766234206411178382012437780943911407111996246681614260216589748219948234238544713502657237994868958775470087414843854267091658940731398832814296363476551299409, 203409465198137346842416175633918821217255455469673467447848539089058356043113651499943542851474361352778380112183443628905247413257725049299157414814672557402820812939902357137332958344796800
3, 48, 640, 14877671, 160029773559371, 3398690654092734512787221729946162775862224879718660747789163820590323555249466109023710728167597396783303992307255017855130712365129742842633169240639499477197686804515756779151299888055963471, 3396241762727327433100113949475994600502503724242150374218395600591569332967523809802405810658735652315152469834497405818143958867020244430607743943519533531715862478830224736355101276837482088
3, 64, 640, 15117931, 12886252969194093193, 3098310298189529269736202007316162075048792317513798736242383630495165219106503265248544922531369877258161192645335439070776018361957478610935781349773073079935616111843855102308237853180504721, 1913331437239715585449907807853255616328772141060952654085227869612018230348280080002235323596685261683194077222124648884031322322114022757279047883809988649740875971323256664622076303906811940
3, 80, 640, 18089122, 1018826321419980687685619, 2379697829471901139542525726221517734078737935537741020077531144279006134883723004277462094007288073596799565497539404615104413348440907685373112437192382353356228057832922177117308695738777701, 521653655126534513606286796720662554067076189341726214500570064637733305452727310427116943734047370455337631419758274847042079789288504584263061631552116103614129538185531133776089628760150686
3, 96, 640, 18529850, 56670501365260538287133651471, 3006974727388731430511106213487000688544737776094662660719425659095130474148765786386946942283079926208916356898770591240454328996414595820983057804553508183559240122071112863313955691910745067, 2503749268522627293683842243708735983676026522549248576838230401576484913912976203453606137761698665926929319102718852426929791703904599001764940923578669781205207888006923010246021632142960425
3, 112, 640, 22195309, 4958340599064407146568156507553991, 4414224671897813878490092766053953753554889686256692580558263565921308365947379005185546314930861754856127515145379810490945014754847468542927827861111918476096159411346934742064731599656780777, 3005885702211164251498523054698557559012510663589541547423560470148553190172254099674319513633101993269183374570220809738098925569167253227025107283336203859323252054424245247572531281880447648
3, 128, 640, 22233070, 193583380221425884784048021524501414453, 3067588750073051709957211599691712526856917011929842732405005877737263980910724483591879769383967163144374525266655960664100451513114762076355164628985126538578924611283796270808309997032476031, 880980135170290297937558581858811500660485263962470061088811764360276305173641491432117967111392743869733745762556780004674423120481742418390101462994372768003016148148165988327493532965210634
3, 144, 640, 25240302, 16819149973952735873726302553340400988323087, 3638593776281453741880858662762597940411659847825572078855684831805918355850941543442274923784670459571573457753072143788954079752994675098837328605887042354179079104996791269043654967756600731, 1811039410833493786669709292209987417740841451819649478228265105908893347760396864016663881362136735413872893133873627355745622401895018455922976885142142219788615204286059916319939884810866572
3, 160, 640, 27276703, 1212683187221264611270223613229085585428347030269, 4095987293750146573718254982730075097073873291700211015143167627164948152055179468932300478225627088403824871079003329437050322415280765934904577845218741493488823840892784408387381643567091239, 2731582548932265996668003903091573000532234621856867357257015585498391346575757469043069352866936652677409346082146174882942148413246996136612223271812301434837134841597906857933864014043891571
3, 176, 640, 29890864, 76956238186080966826056263726362132561123069280885609, 4059369112355227782482233006459895935220286325815805793021176648962578741676412069627565126656436984112981292719503371448032859898694875458116972485871155136712384558389121852674764009317283347, 1479551220492174561497975497031724315511750429406208566517429695066877047105721927804517121461603827760112759602128051928218348160460088558490619013416230495502210899299727700756980848299384588
3, 192, 640, 30228466, 5584177186372626494604743777834488146187855032149430824813, 2637039314202184453010709571918067085781803726561268193455310455641415711102348439294786477006555282897143244979664015361934220028836412299135116509579307789666177947201943656611411469530280971, 2204447856597420311203256572932854544406749975442737567673931535425741959695997218811223119542766848862735600708769672304790975313851374721880244787663922529714483650227179974838246572053264832
3, 208, 640, 34325956, 390567260321175030958244976825723584519668046189969362014484243, 4525202945999507254828977052648601474887943506351360139477909303112660543674192075055633200316096464546823380193095902871886529321157288038449416324883543102705721163121555739954047469159068589, 849381472784449457960485655297095045828586419353004615796080107303110610999318010067619274771629113093943432857384290162171735539788397747493231033931840746046701192605634481332887402417406437
3, 224, 640, 32692626, 26844292531715814172713037146128790435144118689678016187989724908297, 3858638695193239355732124831007847612699904905013551070833386608118010004408096752525049709536111189473608900694132185253185024439251399289192888575609634753311019694768141400044452842944254347, 695131073241459798652525917815463581374465456365690408011099746439990541773026820546598815836871578836698586035409999817809044453167315226556323514659868676067560080442745983976869062237270941
3, 240, 640, 36867304, 1686598253955943777385431046050753676525248734745371044677342651906197823, 2717453564901435177484764458063516156275222061600810754056894292681936054309267458731842520583173462012882136195210119005204195218406556420802338263213921250826120781058080040322501977864999021, 1436659826379714575557832148048288576582083210825232443537714688555082818837589433739983717303096592416996832104087645653069578551681707971307008529827900451014172661193563865875886000216023055
3, 256, 640, 36862408, 105570966024870090350621544133033961176061367582737598270214670021273066991287, 3983874086662117187512666781675960267997795304870879020123405318944993222738569484193558521492346198650380826631851953026971151589899303981607479209889976496170853562402079101705016056640139749, 2021570507794570041342934415559246504012036971982070876256143032513207551533380467977203394411351644077465940637754768595690837911730913649441421606333278135229826818433553476221621289358127753
3, 16, 768, 10169453, 55691, 1416087064581178768253099997656534880610256257081296550114225193060076708822334219077735676300339286631717241112661290522627054656847178430138491116266832140482800489144118368123356893093397276305887360565892617855844379985259937303, 486113644916664316002582738620221094624154288346511303206827339151620790442773812742330696395413612504865332300319563800904405392680573849873538208049300933111768443900328957814407447980015324679317585960692381913889326625034712044
3, 32, 768, 15470795, 4206707539, 1481496266690971268224135759480591499909793566098992469148923024491233274455627785789138474430756298079549739657374393614764988219922288995729101985845547344443093788611024513648289399474780333617531841066852567115673369320789741259, 788797696008133527834060982219814139613998377666921043711746335187034282120851596278547715139306807811679561404050069403987917394446453301204704438895084588146732655033316528021880549090214005474038011466913091202116697635043943632
3, 48, 768, 17783445, 171848606614159, 1268692358087385872158743747706582525557943868386780928786876156511590668029042164890565917300361236843558911877770608458033240797705691956736847947638216844415663996131359818970022234559586571993785103483836201491622659019121526791, 636247657252730016868796320795947260038291266973897612127172963901736014829327591723261244594441521823630703549301223342767829562330561191273868854288003396607300009056210066914994071946849216314615670310566946227601881589679658425
3, 64, 768, 17949695, 18016256499808178387, 1506079021004799543001073083497242593558482122903120929851599506548890949800054504451317300128597167052557986198147449899834599413487335603359240722974316874395223502630053247984338294894614092244722982832067220793259770857555367277, 979354969643682925084006909891613493637139145364458798722706018323588854521895273448342420282073325544859685449516231735729265234641522164847897491692762398223022447033828021255892110861853577550966791949492551651665504163882429925
3, 80, 768, 24623844, 873896961809986819684709, 1406419428112313948931986060080109328252413450961857908404890423238358181739147588110732076424843178656654745680062231860272745662195145308462208235753010859276337654685866527632755707839534539138065732870457687035641497337803468169, 801824277900156017674646405094876241793397146483924114104774195394771423931283499673658225017387448955393860367822391891704268209709248722524408835675644196489479378750455074313044405762648319661540388001023550394109744824113326205
3, 96, 768, 23674107, 49187615180078908899189531769, 786658592192644059199160303878045053503887699239615087836611857813196253843127373080471929574954395416300456164642285725211063098251093865624809000462567208811889142733006567496682557369923023106970145441609782253419821816006422431, 94888065540871385701794166738531092512045016719631089154350842620372220267605760673708270980972370700247203702048726381180606249498765695844935410890959788288721827073995610172203907520395242862740375763855506207166568287116664272
3, 112, 768, 28511855, 2750556385651269357904866102543377, 1446449360276324145213206213619517676240552952864980741359092622563573761283901505113695044611119250095631814934348877864057305828154636756044129949367488630324818230409707588154480778526531007351598102531805918531221029853457290781, 892689003732496886268835359086836776770867710866820287593750639477963839393908876721076443535127978735858527117490140874414019183985391332766600489387338687233014506412374538643454933813536237960050377717227257866460898364840714568
3, 144, 768, 34969808, 11485577944007035720958639567534017270996093, 1195581525012307169052230449680622039224942773459787509649476592421316983217226101295406440871518883647685565221603226676459937878463901532430118406498889129091638122926239972389139840875506838726050122257068518628539740897104683843, 346072437086785884084272550773225610940486455535139604516604382286676155206188942766572749070581613321173204008655413975663214245620035101371174560118191461694205136072819039118190026714247860346389802210687010975560725203630934342
3, 160, 768, 34481215, 1270021350297537203692094936788998320044402258621, 1420905142401835697821810532971148601281522742336730354435150401247272067780642719638537201102330251354308676269149784242039850001649276880631726858799211671243546220979942154467904889638700717749624012304483250481223213261677159903, 1038293286681594469546375465045424267766866370402918035365426308376968794794752322708387802370507516438056669873555893341816867736161374739039619886805522966204730826959253418701681413785648606794622825094943888080605724013504549700
3, 176, 768, 39137401, 66505624164111081358569218299306105599966282117132763, 1252809007768360643894072436316029966561396810762365533725568364125921056547191747059546352342557551908039356903745919524648462476966231171476728396594586427265984335491962335085986660479616759271828419482294741370272674952062972143, 633202220406404985093395681266969504503973267866678440794616684047851301060721860307775754490087698826340128810271602471660782077962146639995945930187681973761927102030718663593833147510478543849923357917378008362057929625181649563
3, 192, 768, 39684743, 6239702833613855883439260039579289497070691011542936114673, 1096035152681399354316022474367991108491466974716701305228982571411950253056314735880337895308217016329763919118070978394134037341259294009715128319090990032582093924110265591110121182894582852449313373641896252208628763261120733037, 262850558079673140488532320736259007889153404052583612969557074228411108627674512498557149124171331631961451334611286663339315607253784707874295628542788551492682122009236084637995832076068783998253574426363788520361986928735438428
3, 208, 768, 44924366, 407709682386091988939031410499191993606918163490467218363076589, 1329100427044633894432244061152697228858041707895572155657327456423381324348432629237752804815724895938414385388897734119025521261957610449998654110546318283143272266353734472768820807928279276537320814896256484298269745294604685803, 643273388523469384975064359173204475875003502170476822834489799103449054042662556642426639562240123510625100065759886538520879526388876615934920791731809757384818848494772834077824557253316466355118931385193870481766570379493195629
3, 224, 768, 45101917, 23849575356457569315631631039283803768888366459856928419110733706819, 1147891600886443027663810835722298312592560132166299986429866375802750192405444942136295544841860943583765749746082238991273029034647774724651984798841518383691199292793107627422295136319697562993621343257671571334571827195296852711, 1142017645483125046879114256854372804092118326137418661541007919904754248549943826395630122565991856703976884265284676022283634336628456583587159561130665781400398788928442061960749520250633479162365088656443289924736736482827968904
3, 240, 768, 51220235, 1185963834190168442157539272583696518234328614978110396217191855582848863, 1055751097625841655932688868774334910315486941108720195292427429511873214217060780336462323931941915937230566047598818571761777410310459088927736211434800508518982229433266677096620462520196065401352032852152215395483478639124450113, 347684212151627598019640383799035908181517259481609488011265711646305635096805143900516510134431463507795216350196564786664440880597580037966200900670100987504020570684312762467506616428722584040904747108854074667096766669744693415
3, 256, 768, 50502789, 72826938284568261482854939038588815642068799518286255624627586016722953791691, 978473744527497183480658357095273717259860237327256849271237562205814543066004884546480582319993826037802785307573372067441909416867779152513348496161130181188898897207466345479013723748982134833220657616709626983622352306483632949, 773369606979689109057643386535001957622267625802577668589215192752002445166028742807790609286876370778421002752646368472437950861593293011005125895375033088539320103010995929795182500384412115918734265538047852772581535461016144473
3, 16, 896, 11404398, 50839, 431299663182505119847239971486709046684523407984676291551227092792774891926436112623319955205364501655303276791186082217631548617922339895539170580791198206558864210047475993601145778957173491299954888697620513757417989238349687008143541952733236770932589519670918443727, 349294772893457688817065097309924857931024870884309715884458829616776444413978192115142185673680037099900510223408413057773618763051678517441749785312349129037566358765684199766569784606490406462480843175579299496349424459702039260600485056137953304858490300373422503716
3, 32, 896, 17990788, 2521206977, 365105572548082144324888638622330682720825402150534931028264681828307155541442740381233974932340860307443873790068112146828828031414843151982187342262268807699529640910919360520502686295246811542061479525004427973558551616516292721120035721750060822834712478442770362609, 339293481762670011247889781914227302848766892097727694543578279434022259703683662008029980546244511011516341558386200835089420753628103317915785382661669745254339332042960897666587955284589393040421241328355091713821397892764754446176133401504975887224405543518722595337
3, 48, 896, 23124369, 159631712630921, 329704162460117661787810257246353591917632129666077644280384117693294753468379524164558848200658240925049608876775238831520715634998591074231322892366919503378509288129907344953805957878454826482523137689577031133951239708721426764035901786437119130577857203849704421889, 55557295903660797818766740234271105148253485915706619544598852146950844645540386872898444673212180198387925396198582785984934492808448176818494829577432763553962606446433828130595339729628767585105617337629247275319833102961981320105618960854072023161358021672248573316
3, 64, 896, 21059790, 17455658311751014087, 293641669361871890419429650730457883645999842431475126402582501071078035755988398598065309734387155278946974092664262546582940983128108758769182752962293617133459245627708695174018485643829624967689610313999465351714472540583827262512233607153948796743257915794733130097, 115174893219259400852310142320891995680270052780292055321078013196374514401764994511768187634247562143298490617620925032923247826611182192882764553553865185864640470764963015295465005060009908251764142640083751102162659099225424265583563279155945587085708735849964240186
3, 80, 896, 29317374, 1208433394380303374345141, 464343409021641689137912420573944640554763779700800004732303770067894542886777902839303150311973918708516382754255542252607287741406440302732747333162105698123868057048501349930838286441706681714065378895821644639050615131050597271274434606304639730328284276008793062823, 215855074453234075173978256655592643175387479390288446621487978824541882729566519929215697346676480981654985177929051127257290954994569485390545003025966809134986413318834345500374033936326862952475662781637934117437837901325811942153312447881564927050013485549293779539
3, 96, 896, 28846750, 50800435580695070850397255157, 374605233899196601313913574779613189249779777704967753333650338709933618600035010918059117008632112815381312406671626237962107658959712286738413897038552270172167796209484725398598798075911825467524060186128886735519101106813626870020366447094573138294884557732572504831, 273378665740639451947652202795562364989985499850001449422089401723014697300234591022619986653762885128967464959312379702203049192287385811758567375393953956691995755690231131815577539552373426747184247716827426460329576329313180103568898341254243424584128885943724465442
3, 112, 896, 37294227, 4901999953572712923016874395012721, 289116050685502521912968328946658200248652234206576417235206949957573601537031943558584425340472535438961818583963627653012400649924075188615829370978018570836264910662905663013995686399081186242195385092146511325943685914043058484426949266092154020012566745043865444823, 124312776383023425327660511078383930552415654302711770744621251033570074961268333970044129426742709898649766816129780761888616626565681729388244038094573529248723494768291939841049029749512392137353427823238060072077317548216284377640988267425043707612461166315596449971
3, 128, 896, 37661362, 266815776750853219522742006904496798223, 503544523403559383985100221333919172168352129161137453297135751593527394191338661286520342717125530445055995178989130714667203715745968041166384860298224899193969150090414081615428269981332224938748501972277893337240588007578227802438854096869724818011562068438683307483, 411045916797674208415488598826542199282732062357874811229761058569129617464247458891617181489746482104068715921361778063193164140545215741210007894134670277887948595402400419522306170785150203711899760693855772585766867500834949879791482969259473925830327776590796701857
3, 160, 896, 42537860, 911551730939159413215313412275166996771475980203, 487342264012452922574229863497813353788053736454882266253522963560311366436718063009330845633404883136088098815749323716858945063996637203103073561149372353003121879443751243616349676747713706940516571887620917325655814339094617973946333280893426119531449737555321989581, 290173927819963231176908926377937211731692696665083866271277283255386849391716314419785353802141489355059422543587279674281295972303915583914326916307178353170811193156750653165837028539401991273921653841275653631056620585586025118679892227140020861253301428864731986389
3, 176, 896, 50368777, 56202255573237333584627933886826769361253782211281077, 475806744923159007056022632268920353655663558631312736814754945220208093168162066969984835541082121590639645679976318715963030149747149614168322903000492082935399431547804285923146542966007109924201013872057029725193928469579616871784935051735424696405337885255263298237, 181912197679854380414175218502404580693216563872355013715923860943517601174899923684693443715600586337125912028799626581596628956809562720416908422798224008542810214791083244661722927159228370544854900117074688367017583524860732226860760216092998615324305213595133051724
3, 192, 896, 49524144, 4890168203752013019342404831426088726390540537008980109641, 356214360873241697566025966363319589806609129832399374715661859754179443621358839896537614779576977048424174290514349298467535251534383069852116754973978333073199218079711521919458635461880946486105254512655345095812747049663195652695494994562615219359018258497812790183, 167082874740050405455663995962323609685514451964932376110922040801523848426954017643844074577328238951303254568577737970827203900194950826466720064798379562630071635326089570352501246743725546589300049841517970221296420456739045216981722876018417570441440068909382642266
3, 208, 896, 56563709, 314914459174040200115277453802859733079673867261674781676357983, 277446553595865818520822149235648243825003337249711169579154723396490342634034056428119524198593252003816705644570460736882977490945067004864313210366093097496574620381834285895987420664991542451678280940256590540000367128305262798044270153621033223567746122265683934633, 159853698071581544436978517162613456530823323242082548461105385510837667546777128351033403983273820926649411836410647665842430350542467780602209393299306180900051929158321306866059166112246813743460343142512818311309105000173188858388445846322202723261937309103983826616
3, 224, 896, 56216313, 13610555252019766799535885005152395956968559839897942021694605617691, 334063667387278973103360606214055533702683192515453067635824898902948664979917399433323045507137878279882854332462246272645161101325107659688285918980065788063000651851114727257336764650654465581683497905507437025051387536028186623070101312134989915736437896228137696553, 10861663726993313097432259556352524934190522048273741493104090756198038087922759450401761904178312648295882871114185241140556506165976991479362025976364621333977003743580591115629569330198600766018974186543908006572989234253887775046245087486610368947459602734013089609
3, 240, 896, 62848848, 995194545527001028281218861286205291825332077752042886456863722335810773, 396587741749060260208855966237458200045133725212398667570240465069425583600791964704553630536128425028842921217950730340550296480997831951924540514498369444864550771347876752595263522935809181236147082894144944787473839440370680692645086310433057917974570131145205320177, 32807971223136268732699646541670817946566554655254261581826474227716464124797641324111687229422988968474892293667280521116707924788746273123152071305264686946376761493383468062024034614934495993350128545247505445728135570228152218844580119402488787502415745859739040107
